转运商ID,W001,W002,W003,W004,W005,W006,W007,W008,W009,W010,W011,W012,W013,W014,W015,W016,W017,W018,W019,W020,W021,W022,W023,W024
T1,1.85811,2.16513,1.4103599999999998,1.3286400000000003,1.0707600000000002,1.21151,1.16239,1.36925,2.23313,2.64596,2.55839,2.34301,2.23107,1.99084,2.2657300000000005,2.54045,2.1873299999999998,1.95777,1.78539,1.9237600000000001,1.87559,1.8118400000000001,1.94786,1.8401900000000002
T2,0.8687699999999999,1.1170000000000002,0.69147,1.01061,0.81558,1.13472,0.8687700000000002,1.0106199999999999,0.9928800000000001,1.02834,0.9042300000000001,1.17374,1.0638,0.9396899999999999,0.7978500000000001,1.0460699999999998,0.85104,0.62055,0.8687700000000002,1.01061,0.8687700000000002,0.7801199999999999,0.8687700000000002,0.78012
T3,0.07121999999999999,0.04532,0.08739999999999999,0.0259,0.10034000000000001,0.05827,0.11328999999999997,0.01619,0.11005000000000001,0.02914,0.12948999999999997,0.01942,0.09711,0.51619,0.10035999999999998,0.04532,0.11653999999999998,0.03885,0.09711999999999998,0.01619,0.09386999999999998,0.09064,0.11978,0.03885
T4,0.36473999999999995,0.30835,0.35938,0.20371999999999998,0.24150999999999997,0.27226,0.27098,0.36088,0.27674000000000004,0.45932000000000006,1.59076,1.09225,1.0,0.5,1.12129,0.66613,1.12215,0.8839499999999999,0.7009299999999999,1.26606,0.79234,0.73361,0.70201,0.72956
T5,0.0,0.05797,0.0,0.0,0.0,0.0,0.0,0.02899,1.78985,1.8405799999999999,2.93479,2.95653,0.7029,2.3405699999999996,2.6956599999999997,2.43478,2.37683,1.7029,0.9057999999999999,0.63768,0.05797,0.02899,0.02899,0.46376999999999996
T6,0.00138,0.036770000000000004,0.04922,3.5862500000000006,2.5146100000000002,5.0,0.17962000000000003,0.11347,0.07291,0.04523,0.03105,0.02453,0.012270000000000003,0.00814,0.00888,0.00835,0.01363,0.00477,0.006660000000000001,0.00412,0.01872,0.00296,0.00086,0.0008399999999999999
T7,1.1320700000000001,1.0831700000000002,1.4325599999999998,1.47447,1.7051000000000003,1.54438,1.2229100000000002,1.34173,2.0901400000000003,3.09714,2.3595300000000003,2.4084600000000003,1.7400399999999998,1.7050999999999998,2.4993000000000003,3.9262699999999997,3.9961599999999997,2.39762,2.06534,2.0063000000000004,2.2159300000000006,2.89063,1.7858099999999997,1.7718399999999999
T8,0.64408,0.0,0.0,0.0,0.45764000000000005,1.1186600000000002,0.55934,1.08475,1.30507,0.6440999999999999,0.59323,0.5085000000000001,0.7627099999999999,0.7966300000000001,0.59324,1.8983199999999996,5.0,0.6610199999999999,0.50849,0.71188,0.5762900000000001,0.66103,0.67798,0.74578
